"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2021-09-02",145.216003417969,145.519500732422,143.184997558594,143.287002563477,32342000,142.212493896484
"2021-09-03",143.080505371094,144.154998779297,142.400497436523,143.739501953125,19850000,142.661590576172
"2021-09-07",143.834503173828,144.565002441406,143.619003295898,144.280502319336,20124000,143.198532104492
"2021-09-08",144.100006103516,144.399993896484,143,143.690994262695,18344000,142.613433837891
"2021-09-09",143.84049987793,144.310501098633,143.177505493164,143.541000366211,15314000,142.464599609375
"2021-09-10",144.212493896484,144.718505859375,140.738006591797,140.876007080078,36840000,139.819534301758
"2021-09-13",141.949493408203,142.949996948242,141.25,142.332504272461,22094000,141.26513671875
"2021-09-14",142.995498657227,143.363006591797,141.75,142.544494628906,19674000,141.475540161133
"2021-09-15",142.771499633789,144.450500488281,141.347503662109,144.429504394531,27408000,143.346420288086
"2021-09-16",143.950500488281,144.300003051758,142.401504516602,143.610000610352,26190000,142.533050537109
"2021-09-17",143.030502319336,143.449996948242,140.470001220703,140.800003051758,53384000,139.744140625
"2021-09-20",138.161499023438,139,136.322006225586,138.719497680664,46518000,137.679229736328
"2021-09-21",139.749496459961,140.011505126953,138.27799987793,139.033004760742,25332000,137.990386962891
"2021-09-22",139.304000854492,140.886993408203,138.551498413086,140.283493041992,25056000,139.231506347656
"2021-09-23",140.987503051758,141.696502685547,140.401504516602,141.216003417969,20952000,140.157012939453
"2021-09-24",140.538497924805,142.330505371094,140.240997314453,142.214996337891,22984000,141.148498535156
"2021-09-27",140.804504394531,141.938507080078,140.067504882812,141.072006225586,21882000,140.014114379883
"2021-09-28",138.654998779297,139.096496582031,135.360000610352,135.830001831055,45772000,134.811401367188
"2021-09-29",136.979995727539,137.151000976562,133.865005493164,134.353500366211,30848000,133.345977783203
"2021-09-30",134.261505126953,135.542495727539,133.555999755859,133.675994873047,37996000,132.673553466797
"2021-10-01",134.447494506836,136.910507202148,134.072998046875,136.542999267578,35360000,135.519073486328
"2021-10-04",135.960494995117,135.960494995117,131.050003051758,133.65950012207,51202000,132.657180786133
"2021-10-05",134.041000366211,137.224502563477,134.041000366211,136.022994995117,32404000,135.002944946289
"2021-10-06",134.75,137.75,134.550003051758,137.565002441406,24364000,136.533401489258
"2021-10-07",138.891998291016,140.042007446289,138.651000976562,139.225006103516,25110000,138.180969238281
"2021-10-08",139.576995849609,140.330993652344,139.217498779297,139.785507202148,26526000,138.737243652344
"2021-10-11",139.292007446289,140.712005615234,138.858993530273,138.914001464844,17954000,137.872283935547
"2021-10-12",139.479995727539,139.50700378418,135.759994506836,136.449005126953,36332000,135.42578125
"2021-10-13",137.402496337891,138,136.518997192383,137.582000732422,19654000,136.550262451172
"2021-10-14",139.473999023438,141.337493896484,138.824996948242,141.151000976562,31894000,140.092514038086
"2021-10-15",141.614501953125,141.718002319336,140.755004882812,141.36799621582,30274000,140.307861328125
"2021-10-18",141.076507568359,142.796005249023,141.06950378418,142.77799987793,20396000,141.707275390625
"2021-10-19",143.387496948242,143.662506103516,142.600006103516,143.236999511719,20164000,142.162872314453
"2021-10-20",143.337997436523,143.546005249023,141.376495361328,141.768997192383,23288000,140.705871582031
"2021-10-21",141.768997192383,142.156005859375,140.5,141.886001586914,26292000,140.821975708008
"2021-10-22",139.149993896484,140.582992553711,136.055999755859,137.566497802734,50588000,136.534896850586
"2021-10-25",137.550003051758,138,135.42399597168,137.447006225586,34412000,136.416275024414
"2021-10-26",139.26350402832,140.082992553711,138.304504394531,139.308502197266,49236000,138.263793945312
"2021-10-27",139.404998779297,148.649993896484,139.404998779297,146.217498779297,85782000,145.121017456055
"2021-10-28",147.134506225586,147.158004760742,144.626998901367,145.848999023438,36206000,144.755249023438
"2021-10-29",145.078002929688,148.242004394531,144.649505615234,148.046005249023,43320000,146.935821533203
"2021-11-01",148.046005249023,148.046005249023,143.225494384766,143.496994018555,46924000,142.420913696289
"2021-11-02",144.579498291016,146.608993530273,144.335494995117,145.432495117188,33482000,144.341873168945
"2021-11-03",145.900497436523,146.669006347656,144.591003417969,146.598007202148,27494000,145.498641967773
"2021-11-04",147.124496459961,149.733505249023,146.307998657227,148.267501831055,38412000,147.155639648438
"2021-11-05",149.169494628906,150.327499389648,148.197006225586,148.852005004883,38354000,147.735763549805
"2021-11-08",149.824996948242,150.615005493164,148.43049621582,149.031005859375,23052000,147.913421630859
"2021-11-09",149.233001708984,149.834503173828,147.244995117188,148.918502807617,19530000,147.801773071289
"2021-11-10",147.5,148.070007324219,144.537506103516,145.893493652344,29970000,144.799453735352
"2021-11-11",146.489501953125,147.535507202148,145.600494384766,145.766494750977,16518000,144.673385620117
"2021-11-12",146.615493774414,148.850006103516,145.410995483398,148.677993774414,22360000,147.563064575195
"2021-11-15",148.900497436523,149.549499511719,147.574996948242,148.451995849609,23508000,147.338729858398
"2021-11-16",148.149505615234,148.762496948242,147.3125,147.876007080078,18904000,146.767074584961
"2021-11-17",148.027496337891,148.559494018555,147.240005493164,148.046997070312,19594000,146.936767578125
"2021-11-18",148.241500854492,150.580505371094,147.884506225586,149.838500976562,35608000,148.71484375
